gene,P15_L3_806506.R2.clean_H,P11-N_L2_807507.R2.clean_H,P13_L3_804504.R2.clean_H,P11-2_802502.R2.clean_L,P11-1_801501.R2.clean_L,P2-N_L3_808508.R2.clean_M,P11-2_802502.R2.clean_H,P2-N_L3_808508.R2.clean_L,P11-N_L2_807507.R2.clean_L,P15_L3_806506.R2.clean_L,P11-2_802502.R2.clean_M,P13_L3_804504.R2.clean_L,P12_L3_803503.R2.clean_L,P2-N_L3_808508.R2.clean_H,P11-1_801501.R2.clean_H,P12_L3_803503.R2.clean_H,P14_L3_805505.R2.clean_L,P13_L3_804504.R2.clean_M,P11-N_L2_807507.R2.clean_M,P14_L3_805505.R2.clean_H,P12_L3_803503.R2.clean_M,P11-1_801501.R2.clean_M
0610030E20Rik,213,69,2424,963,223,5,1237,307,143,880,1330,4199,291,105,134,677,617,1873,99,1080,282,259
0610031O16Rik,0,0,0,0,0,0,0,0,0,27,0,0,0,0,17,33,0,0,0,0,0,0
0610033M10Rik,45,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,69,0,0,0,0,0
0610037L13Rik,298,82,2880,1191,317,238,1918,295,75,460,969,1194,194,361,245,389,774,2281,88,2296,188,243
0610038B21Rik,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,56,0,0,49,0,1
0610039K10Rik,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0610040B10Rik,1,3,0,4,0,0,277,0,0,29,222,0,21,0,0,1,23,0,16,89,0,0
0610040F04Rik,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,69,0
0610040J01Rik,0,17,0,0,0,0,0,0,0,0,1,0,2,0,0,23,0,0,1,0,0,0
0610043K17Rik,0,15,135,0,0,1,0,0,0,0,0,3,0,0,0,0,22,1,0,2,0,0
1010001B22Rik,24,0,0,0,0,0,12,0,0,1,0,3,0,0,0,0,1,1,0,51,0,0
1010001N08Rik,0,0,2,11,0,0,9,0,0,0,208,0,2,0,0,2,0,6,0,0,0,0
1110001J03Rik,158,108,965,756,120,226,1075,1243,78,593,476,988,116,67,165,97,262,1376,64,964,74,173
1110002E22Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
