p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
1.61069858936589e-14,-0.47787258133036,0.167,0.52,2.27495068762038e-10,1,Pvrl4
3.54865215890811e-14,0.703231143922816,0.817,0.571,5.01211630924182e-10,1,Chit1
3.61281798841894e-14,0.296764815884078,0.413,0.126,5.10274412684291e-10,1,Ackr3
3.90320742367915e-14,0.462446917602228,0.897,0.706,5.51289016520443e-10,1,Wnt3
4.76304070263038e-14,0.743105837314445,0.595,0.316,6.72731868839515e-10,1,Sox6
5.5629203852474e-14,0.642312707516176,0.802,0.608,7.85706875212343e-10,1,Slc6a6
6.05915977179626e-14,0.595755341914423,0.952,0.866,8.55795726168504e-10,1,Tspo
6.13522073128955e-14,0.352601854039719,0.516,0.211,8.66538576087337e-10,1,Thbs2
6.13683391589883e-14,0.377069192656474,0.635,0.299,8.66766422281551e-10,1,Ctnnal1
8.58816597233701e-14,0.458629941212383,0.627,0.333,1.21299256193288e-09,1,Aknad1
1.07125125651675e-13,0.510685231417456,0.675,0.392,1.51303527470426e-09,1,Slc27a3
1.09452297759756e-13,0.802243054612264,0.952,0.872,1.54590425355879e-09,1,Cxcl14
1.16426085966309e-13,-0.579074617333619,0.143,0.507,1.64440203818815e-09,1,Atp6v1c2
1.30025207682859e-13,-0.992047843062536,0.929,0.962,1.83647603331271e-09,1,Dbi
1.33758803402845e-13,0.42624454750229,0.96,0.87,1.88920933926178e-09,1,Mt2
1.86575591163285e-13,-1.43935549359174,0.23,0.635,2.63519364959024e-09,1,Tchh
1.88180120134954e-13,-0.269393196749811,0.111,0.469,2.65785601678608e-09,1,Pak4
2.03561182760015e-13,-0.438321582073968,0.087,0.439,2.87509814530245e-09,1,Calml3
3.34639276720232e-13,-0.968775238199889,0.222,0.565,4.72644514439656e-09,1,Asprv1
3.43259689647798e-13,-2.21215655650548,0.032,0.373,4.8481998565855e-09,1,Flg
3.8337706891245e-13,-0.465554469575751,0.127,0.484,5.41481772131945e-09,1,Hspa2
4.92778200274675e-13,0.394071431043715,0.738,0.495,6.95999930067951e-09,1,Fgfr2
5.62735308522139e-13,-1.5194095865956,0.19,0.58,7.94807349756669e-09,1,Krt25
6.94599192063069e-13,0.635704894078272,0.579,0.294,9.81051898869879e-09,1,Col7a1
7.39979480668689e-13,0.898788592611658,0.524,0.23,1.04514701849646e-08,1,Guca2a
7.72959159860154e-13,0.524428327829287,0.841,0.663,1.09172751738648e-08,1,Pdlim1
1.16586189557901e-12,-0.338484048278728,0.024,0.345,1.64666334131579e-08,1,Bpifc
1.33193241364739e-12,0.389588856601854,0.698,0.439,1.88122134103558e-08,1,Ehd2
1.3949024882359e-12,-0.390048475921622,0.119,0.469,1.97016027438439e-08,1,Syngr1
1.58684290856392e-12,-1.30983673538182,0.968,0.987,2.24125692405568e-08,1,Krt17
1.75527838969914e-12,-0.932939109808852,0.349,0.67,2.47915519761107e-08,1,Sepp1
1.76405833956311e-12,0.457759740208375,0.437,0.173,2.49155599879894e-08,1,Phldb2
2.17890670160444e-12,-0.904872890096987,0.325,0.646,3.07748782534612e-08,1,Casp14
2.21035905665911e-12,-0.511975176161507,0.222,0.539,3.12191113162533e-08,1,Ephx3
2.91895607809954e-12,-0.69482485719047,0.127,0.443,4.12273356470779e-08,1,Gsdma
3.06217327959732e-12,0.369624165099187,0.984,0.942,4.32501354010325e-08,1,Cd9
3.06217594809039e-12,-1.73016840220468,0.143,0.516,4.32501730908287e-08,1,Krt71
3.27922328767268e-12,0.463900157774122,0.976,0.797,4.63157497150889e-08,1,Ifitm3
6.45227591471633e-12,-0.900278616948685,0.254,0.552,9.11319450194534e-08,1,Spink5
7.0666720218031e-12,-0.467917693199186,0.079,0.392,9.98096756359469e-08,1,Skint9
7.84154692317547e-12,-0.479925627562699,0.437,0.759,1.1075400874293e-07,1,Celsr2
8.53693074920206e-12,-0.390259982583644,0.048,0.373,1.2057560990173e-07,1,Krt73
9.55424371825902e-12,0.588624188177764,0.77,0.618,1.3494413827669e-07,1,Itgb4
1.02697059992369e-11,0.316366231819482,0.556,0.292,1.45049327533222e-07,1,Slco2a1
1.10607052977737e-11,-0.921659272140193,0.429,0.704,1.56221401625755e-07,1,Mgst1
1.24554259858166e-11,0.501942999984963,0.802,0.601,1.75920436623674e-07,1,Rbbp8
1.2835685243396e-11,0.253212891070575,0.421,0.156,1.81291218377725e-07,1,Sox15
1.37228097778781e-11,-0.418571201743585,0.325,0.67,1.9382096530275e-07,1,Golga7b
1.42559707366203e-11,-1.44592673349041,0.468,0.719,2.01351330684025e-07,1,Defb6
1.51944489363885e-11,-0.30676034832196,0.008,0.301,2.14606396777551e-07,1,Lrat
1.54115519994937e-11,-0.541007411723152,0.429,0.665,2.17672760440849e-07,1,Zfp750
