p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
5.84573147684297e-15,0.844674717165397,0.702,0.333,8.25651113789301e-11,4,Aadac
1.79732937476186e-13,1.31870405933199,0.952,0.818,2.53854800891365e-09,4,Ly6g6c
4.34715806351038e-12,1.67337734565048,0.833,0.573,6.13992604890206e-08,4,Alox12e
1.09491622638959e-11,0.621058084967473,0.583,0.262,1.54645967815266e-07,4,Cd200
6.02741683960085e-11,0.637500771956505,1,0.982,8.51312354425224e-07,4,Ccl27a
6.09339513071562e-10,0.622979329903308,0.964,0.816,8.60631128262274e-06,4,Pdzk1ip1
2.42813210623093e-07,0.776358150681139,0.881,0.73,0.00342949378684056,4,Gstm5
4.08794838243963e-07,0.899101141626597,0.94,0.777,0.00577381829535774,4,Klk7
5.85219392732172e-07,0.634068322984816,0.964,0.894,0.0082656387029492,4,Cstb
1.62486098539758e-06,0.611272726302761,0.917,0.793,0.0229495365577555,4,Notch2
7.86821544456537e-06,1.45904615742946,0.964,0.902,0.111130674939041,4,Cst6
8.16405571879752e-06,0.785162866587692,0.857,0.689,0.115309122972296,4,Psapl1
1.2180015087282e-05,1.63725147172995,0.964,0.881,0.172030533092771,4,Krt79
2.40217944312476e-05,1.17703693505423,0.94,0.826,0.339283824546941,4,Sprr1a
0.000541567971000723,0.818542202426175,0.667,0.401,1,4,Utp18
0.000550145901774198,0.837744141711026,0.56,0.413,1,4,Chil1
0.000958373420534181,0.650274813257951,0.69,0.538,1,4,Rbp1
2.43129398988333e-32,2.2946485027223,0.985,0.605,3.43395963131121e-28,5,Cald1
5.68396280985577e-26,1.70400916535459,0.985,0.795,8.02802907264029e-22,5,Sox9
7.06710622625639e-24,1.67339343129656,0.618,0.161,9.98158083396452e-20,5,Wfdc18
2.59044007265023e-23,1.76648167077942,0.985,0.945,3.65873755861119e-19,5,Ucp2
3.22913450017994e-22,1.894474086138,0.956,0.822,4.56082956805415e-18,5,Tpm1
1.3640428406308e-18,1.35113050383257,1,0.968,1.92657410810694e-14,5,S100a6
3.9998834056894e-18,1.76044610424571,0.985,0.953,5.64943532219571e-14,5,Gja1
2.16633126465092e-17,2.2525592088871,0.868,0.655,3.05972627819295e-13,5,Krt6a
4.30793067832591e-17,1.49024452528329,0.882,0.698,6.08452129006752e-13,5,S100a1
3.47718145253792e-15,1.23955197750969,0.838,0.556,4.91117108356456e-11,5,Filip1l
1.78000447381167e-13,1.30079202914863,0.912,0.784,2.5140783188116e-09,5,Lgr4
3.4222765311065e-12,1.22939680317596,0.471,0.156,4.83362337253482e-08,5,Fam101b
6.62459967645182e-12,1.93236573498967,0.294,0.053,9.35658458302055e-08,5,Nkg7
2.65272142864305e-10,1.90351521464115,0.279,0.059,3.74670374581545e-06,5,Cd3g
4.03424676161604e-09,1.50899194977893,0.221,0.042,5.69797012610649e-05,5,Trdc
4.85124086254773e-09,1.66200354576443,0.279,0.066,6.85189259426241e-05,5,Fcer1g
4.99608289854177e-08,1.93018666665771,0.265,0.065,0.00070564674859004,5,Cd7
6.81502283191302e-08,1.42778756533363,0.662,0.541,0.000962553824779395,5,Sfrp1
1.3663491033252e-07,1.49840717292965,0.265,0.07,0.00192983147353651,5,Cd3d
1.20550342834492e-06,2.11258399494561,0.426,0.184,0.0170265304219437,5,Ctla2a
3.64112015791871e-36,1.31942045762801,0.897,0.259,5.14271811104438e-32,6,Lef1
6.24340643529573e-26,1.87483224491382,0.914,0.432,8.8181872492117e-22,6,Krt27
3.27796378466489e-25,1.90392077375663,0.931,0.451,4.62979604946069e-21,6,Krt25
3.64589689898794e-23,2.32181646482878,0.897,0.49,5.14946478013056e-19,6,Krt28
5.50196985934047e-22,1.43587325178008,0.948,0.767,7.77098222933248e-18,6,Rexo2
5.2501688497141e-21,1.36067832278096,0.948,0.559,7.41533848333619e-17,6,Golga7b
1.18759708976284e-19,1.76761710466009,0.983,0.814,1.67736212958103e-15,6,Fabp5
1.80358846624391e-19,2.26353293263142,0.759,0.253,2.5473883497229e-15,6,Krt35
2.59722576729291e-19,1.33578922842348,0.586,0.134,3.6683216737245e-15,6,Aldh1a3
2.74864628652205e-19,2.27089562306193,0.793,0.345,3.88218801508374e-15,6,Dcn
1.197253476233e-18,2.13471371035964,0.724,0.218,1.69100080983148e-14,6,Selenbp1
3.55505793724881e-18,1.61690230309469,0.948,0.631,5.02116383057021e-14,6,Id3
1.13784800193752e-17,1.40176382599976,0.914,0.54,1.60709651793656e-13,6,Id2
1.81982238877175e-17,2.88237689426798,0.828,0.395,2.57031714190122e-13,6,Krt71
6.81557427692919e-15,1.68405141179493,0.948,0.507,9.62631710873479e-11,6,Tchh
1.78513602960979e-14,1.43152331321059,0.828,0.41,2.52132612822086e-10,6,Gpnmb
