"P1","P2","P3","P4","P5","P6","P7","P8","P9"
"Dsp",0.00101695563060289,0.74517507299332,-0.507887628527445,0.202779007184678,-2.24660922296167,1.34294451854189,-0.169615914203995,0.134048184797728,0.498149026544888
"Tpt1",0.768545996680458,0.237868447076798,0.552522301536644,-0.0570700330496092,-0.674458593929145,-2.39034662921752,0.550090784977903,0.679681241008413,0.333166484916038
"Hspb1",0.26338438991682,-0.676137181002554,-0.0593804912308721,-0.901067780857945,-1.69960892813385,-0.105642215825179,0.593997694060056,1.47340586343682,1.11104864963671
"Actg1",1.43602365344342,0.165560957895773,1.39513489505263,0.397806950772507,-0.134008758614337,-1.62801760717034,-0.483350053501084,-0.225666696556761,-0.923483341321806
"Lmna",0.809133530591219,-1.28840564865504,0.634298921549766,-0.736794546244911,0.61622326800954,-0.588053950409871,-0.996690143818949,1.72894860350958,-0.178660034531345
"Rplp0",1.17592305104622,0.874241692287437,0.970544879317749,0.873311500723814,-0.227142239630726,-1.46767914388107,-1.05861911544532,-0.863090519709822,-0.277490104708275
"Junb",-0.0693300675666202,-0.601888373530638,0.808577946499387,0.131270796470098,1.35099785765626,0.281646016884949,-1.14510947065257,0.937251347906632,-1.69341605366751
"Dusp1",0.835827936627387,-0.378106181240925,0.9268918302701,-0.523882146065449,-0.622845395072718,-1.90258622009976,0.707367649716331,1.20614956947346,-0.248817043608405
"Cyr61",0.730858782161697,-0.0217573878177287,0.435364223309985,-0.197178728372152,0.127212947773082,-2.05249166313031,1.04007079256352,0.949871135738988,-1.01195010222708
"Hsp90ab1",1.21844463614171,-0.26032502939242,0.768143221577814,1.14479134324309,-2.06569000685699,-0.0457642175104054,-0.346953192886323,-0.0161293166596104,-0.396517437656866
"Anxa2",1.7666596093278,0.64140876717951,1.30052529283495,-0.522595525026345,-1.01106834714982,-0.844266478883228,-0.759953761865111,-0.402843052163482,-0.167866504254278
"Actb",1.58016885926612,0.304216959775852,1.34809942999492,0.113802171687787,0.204563088254275,-0.840014766429786,-0.637042971162547,-0.665014301676501,-1.40877846971012
"Ptma",1.44518979141484,0.786967840876762,0.711329589663991,0.0770514265072033,-0.369479419248053,-1.03777198780171,-0.497992596423675,0.603549891199067,-1.71884453618842
"H3f3b",0.695712951323271,0.531130288178164,1.29856352832322,0.694907250689665,0.648167050902557,-0.270352526414274,-1.41657828715983,-0.786443922868628,-1.39510633297414
"H2-K1",0.44041797761211,0.819739196816657,0.559093460662872,0.813694083198704,0.639461884586138,0.6677093132622,-1.47159537009253,-1.01950565706502,-1.44901488898113
"Ahnak",0.51623671807834,-0.539009219563998,0.784511952220962,0.266613532376233,1.16084409274996,0.898212666289777,-1.99790315398529,-0.636820161685419,-0.452686426480581
"Hspa8",-0.0241437278881231,-1.99373872389586,0.336080073882199,-0.499493332363066,0.366517033093367,0.33301392586587,0.166860165590991,1.78093287037302,-0.466028284658397
"Perp",-0.209447998142619,1.17933484488902,-0.138015026078288,0.553973488250271,-1.126200477672,1.29524477125224,-1.10428400956963,-1.21838226943017,0.76777667650118
"Rpl4",0.758543588226216,0.680282505348202,0.853124445350719,0.620391513215488,-0.264333024655959,-2.38570906794732,0.0267109258392782,-0.294777802840135,0.00576691746349367
"Pkp1",0.707585249941332,1.06372785640397,0.4856327352303,0.604881735846199,-0.199946467523814,0.856102815372518,-1.52946346947016,-1.57599434556571,-0.412526110234647
"Anxa8",0.0372106449735797,0.711145409906965,-0.553846872197885,-0.202326371286605,-2.12407242885521,0.257778635410139,0.48562824550939,-0.132588360253522,1.52107109679314
"Klf4",-0.0987938277871608,-0.750646067312844,0.0822433302141435,-0.796739045360624,-0.996808344676065,-0.237042178625822,1.44612862309366,1.84429362668765,-0.492636116232949
"H2-D1",0.70646279336643,0.738332736535209,0.730534383087436,0.756408031623232,0.434749084332754,0.584933494442468,-1.33726234511453,-1.06874584854005,-1.54541232973295
"Serpinb2",1.02196463644968,0.642756418231693,1.17626819824416,0.406174969854087,0.174003468829229,0.36381029480411,-1.07228023005089,-1.32407737281071,-1.38862038355136
"Krt1",0.259435276300434,1.4563635535386,0.0459188677897893,1.0767878373231,0.0667143033180229,0.651508888645237,-1.13351363945006,-1.19810815152906,-1.22510693593606
"Krt10",0.152703295039447,1.43773133061314,-0.109924251990875,1.057011685538,0.0583706025762211,0.872370591147,-1.17159167754177,-1.20236579374061,-1.09430578164054
"Sik1",0.901092111474571,0.262366022561827,1.10180735024745,0.395527566335653,0.680939984145735,-0.309892462516179,-1.39067270610666,0.156241646492705,-1.7974095126351
"Emp1",0.116714533444511,-1.42604282726215,0.905262666493477,-1.37305645925769,0.474994480232144,-0.140763500180921,-0.753444285116812,1.20526123094584,0.991074160701606
"Socs3",0.596306058756577,-0.478383430090827,0.998375834429017,0.108512500744726,1.77361043760958,-1.22169766828862,-1.08906602489455,0.0722832479303814,-0.759940956196299
"Lgals7",-0.00936573870346986,1.72455929461463,-0.226856536062217,1.32293661417656,-0.304954198330114,0.450283110443989,-1.07789807266132,-0.969359754157522,-0.909344719320536
"Rpsa",0.702941839188556,0.951647593961938,0.449499052411182,1.01179152389126,0.0758876145735823,-1.97262776952393,-0.836835543943422,-0.784480426139047,0.402176115579864
"Rpl13",0.23899473581604,0.719363282838716,0.125086607404251,0.500928215889287,-0.332005993531347,-2.54365166233809,0.553003563095502,0.362509478564874,0.375771772260793
"Jup",0.17503569956644,1.09881522760649,0.102982138517462,0.606312235617049,-1.25905391312864,1.09855583690856,-1.61928220962888,-0.79050488301825,0.587139867559772
"Zfp36l2",1.46411011882483,0.344721929734334,1.21050304058585,-0.0162929196392958,-0.448041462688154,-0.1717757476032,-0.650494920617982,0.162565708639238,-1.89529574723563
"Rps2",0.561242001904925,0.636237270486069,0.638738500301256,1.08267199512568,-0.111032221642887,-2.19609062115448,-0.619711033644352,-0.486348524457028,0.494292633080829
"Mt2",1.11423090011593,0.47418612638386,1.20948292040338,0.491820786030458,0.694352534337707,-1.2921168472679,-0.877019234973138,-0.546187691966579,-1.26874949306371
"Rps4x",0.404306912277189,0.734414160351069,0.79642919432903,0.754608609511755,-0.25498691619269,-2.39985618199004,-0.0351535926308352,-0.365855355320279,0.366093169664802
"Itgb4",1.0877593640447,-0.410086221734331,0.848519742003949,-0.571997186247195,-0.164890455049516,-2.09415175324855,0.877762120524037,0.617964633053073,-0.190880243346179
"Rpl3",0.642439415502393,0.721336444756114,0.768478446127517,0.957906369744886,-0.00424277507639035,-2.29293902902427,-0.481616650196724,-0.257628129541081,-0.0537340922924387
"Plec",1.78322634117552,-0.83641503856144,1.21306191536777,-0.866992247691859,0.406941746796101,-0.961247554258016,0.20071882763847,-0.0657312630265436,-0.87356272744001
"Nfkbia",0.130495592227754,-0.539547883747311,1.33926935716584,0.399095733064362,1.375265683198,0.010165359585312,-1.53432234834826,0.0409142858338429,-1.22133577897955
"Ddx5",-1.42772171525529,-0.592787657901596,-0.309581862163774,-0.0995365603281497,0.896964609828769,1.80422886140521,-0.890405012745688,-0.170359236365109,0.789198573525646
"Col7a1",0.911355058631292,-0.142951091652976,0.723875353075035,-0.497566543371903,0.231832843478164,-2.04309018678557,0.989285338553054,0.673846623763326,-0.846587395690422
"Krt17",-1.1436578619738,0.253504865785113,-0.349605870733077,0.87186174511384,0.254272258956045,1.84199552477404,-0.608457509444319,0.243314747790818,-1.36322790026866
"Sdc4",0.398426031084619,-0.159719383861838,1.1107709984701,0.43088236451386,1.40589453051339,-1.65279849915508,-0.799809013035345,0.257347473837394,-0.990994502367114
"Dnajb1",0.33303288871963,-0.21101601272062,0.0198281459132394,-0.435928988747756,-1.66297865489314,0.309504340036757,1.20035385249057,1.49874885003836,-1.05154442083704
"Gnb2l1",0.978730648446363,0.788252135600076,0.942223055312763,0.960464541022958,0.343441540337626,-1.59193707085223,-0.798850360331198,-0.856563048336325,-0.76576144120004
"Tns4",0.982555742017447,0.444693898954638,0.865303417276561,0.20302174231573,-0.144456580147767,-1.95320078501176,0.247732998516204,0.66236482261917,-1.30801525654022
"Rplp1",0.294074331253932,1.35576361292196,0.352943100452668,1.22360200524111,0.63579526543257,-0.562396389271137,-1.09972662358013,-1.32763365119387,-0.872421651257097
"Agrn",0.361507385515425,-0.5947760867435,0.265184479446565,-0.473638572623474,0.062816017709357,-1.92097326065662,1.42619630179988,1.18219945472661,-0.308515719174241
"Flna",1.43048424285312,-0.584518290294921,1.051138927377,-0.676112564721543,0.832209609640314,-1.07116289307522,0.397738807016814,0.0517240442619142,-1.43150188305748
"Bhlhe40",0.723507372047477,0.162341024553343,1.1730812123119,0.630671406125712,1.13115623484386,-0.79476066725831,-0.756843241354934,-0.578781096601994,-1.69037224466705
"B2m",0.570879099143894,0.682623817271243,0.671339029320416,0.869385409228052,0.427185678576925,0.66455741816232,-1.065058386063,-1.04689811211675,-1.7740139535231
"Hspa1a",-0.052690000272198,-0.225361857462401,-1.49328142743867,0.882801463195318,-1.6257168038914,0.601049207266137,0.774351696542863,1.15460975420831,-0.0157620321479587
"Itm2b",0.294950477757781,1.91556363211937,-0.168605387238809,0.77740914441574,-1.21920944183012,0.29648671552076,-0.839726585856498,-1.15005517753796,0.0931866226497439
"Jund",-0.702134239776602,-0.511434470434275,-0.119649917924189,-0.774404739017284,-0.890412447321014,-0.840464259702886,1.38255249194214,1.54806622668442,0.907881355549707
"Rpl8",0.226340180519403,0.79230399276211,0.330087707023436,0.92883748452515,0.233470849438915,-2.44915389347441,-0.364665524855464,-0.0911444564707319,0.393923660531584
"Rps3a1",0.179199194952452,1.13076831370635,0.736279495420102,0.979087421637303,0.186787138279383,-2.06710029585325,-0.466895947147465,-0.804261072773597,0.126135751778732
"Rpl5",0.413356441830928,1.12376949635799,0.743217105926718,0.890832597769248,-0.0904214620786815,-2.07686906014915,-0.357036561212243,-0.853557007239269,0.206708448794468
"Btg2",-1.36821051889975,-0.334057341141484,-0.76705046519928,0.563507989299848,-1.14054095307793,0.130249491574081,0.808030328006008,1.73145869411143,0.376612775327097
"Trim29",0.237285517756301,0.532286968638497,-0.216428588473069,-0.0965117334767733,-2.0435441867549,-0.862442104829005,0.777103462997533,0.252074753777792,1.42017591036361
"Srrm2",-0.180037897715789,0.264239352110449,-0.0797188021176896,0.331303328102314,1.1858793326962,1.6780561932626,-1.34756580767743,-0.807143863365987,-1.04501183529467
"Dst",0.362899862411262,-0.34598415574629,0.0939563008849416,-0.422852372894435,-0.30307286198599,-2.13617764915321,1.30179987475631,1.00822088122012,0.441210120507291
"Tgfbi",0.750415404815572,-0.294020045677381,0.501753818387604,-0.616578422409466,-0.550271060360181,-2.10448082693241,1.05558771414538,0.831070375269664,0.42652304276122
"Rpl7",0.163035214368995,0.620931120290008,0.422572360615446,0.766283350808405,-0.398574490983983,-2.49208662995815,0.607066626511468,0.0213536784631277,0.289418769884697
"Rps6",0.723826405810743,0.536873820614327,0.83904908230293,1.00466961452462,0.0863711423931714,-2.18169530974012,-0.641074868251018,-0.522038591865906,0.154018704211258
"Actn4",1.61116370996509,-0.746068158420931,1.40633085168956,-0.0665859766851206,-0.492182206948031,-0.714325733177932,0.00914970375168713,0.392148175197549,-1.39963036537187
