id,gene,class
66042,Sostdc1,cell-marker
16206,Lrig1,cell-marker
69540,Klk10,cell-marker
12955,Cryab,cell-marker
73720,Cst6,cell-marker
116746,Defb6,cell-marker
19659,Rbp1,cell-marker
223917,Krt79,cell-marker
16667,Krt17,cell-marker
12505,Cd44,cell-marker
329252,Lgr6,cell-marker
75706,Krt24,cell-marker
14160,Lgr5,cell-marker
50706,Postn,cell-marker
14632,Gli1,cell-marker
12500,Cd3d,cell-marker
16665,Krt15,cell-marker
20682,Sox9,cell-marker
16665,Krt15,cell-marker
16687,Krt6a,cell-marker
109052,Krt75,cell-marker
21859,Timp3,cell-marker
14172,Fgf18,cell-marker
20249,Scd1,cell-marker
56615,Mgst1,cell-marker
12502,Cd3g,cell-marker
12500,Cd3d,cell-marker
246278,Cd207,cell-marker
16149,Cd74,cell-marker
13649,Egfr,receptors
13866,Erbb2,receptors
13867,Erbb3,receptors
13869,Erbb4,receptors
14182,Fgfr1,receptors
14183,Fgfr2,receptors
14184,Fgfr3,receptors
14186,Fgfr4,receptors
18053,Ngfr,receptors
18211,Ntrk1,receptors
18212,Ntrk2,receptors
16337,Insr,receptors
16001,Igf1r,receptors
18595,Pdgfra,receptors
18596,Pdgfrb,receptors
12978,Csf1r,receptors
16590,Kit,receptors
14255,Flt3,receptors
14254,Flt1,receptors
14257,Flt4,receptors
16542,Kdr,receptors
17295,Met,receptors
21687,Tek,receptors
13836,Epha2,receptors
13645,Egf,growth-factor
21802,Tgfa,growth-factor
14164,Fgf1,growth-factor
14173,Fgf2,growth-factor
14174,Fgf3,growth-factor
14175,Fgf4,growth-factor
14176,Fgf5,growth-factor
14178,Fgf7,growth-factor
14179,Fgf8,growth-factor
14180,Fgf9,growth-factor
14165,Fgf10,growth-factor
80903,Fgf16,growth-factor
14171,Fgf17,growth-factor
14172,Fgf18,growth-factor
80857,Fgf20,growth-factor
67112,Fgf22,growth-factor
14177,Fgf6,growth-factor
14170,Fgf15,growth-factor
56636,Fgf21,growth-factor
64654,Fgf23,growth-factor
18048,Klk1b4,growth-factor
18049,Ngf,growth-factor
