"W1-H","W1-L","W1-M","N1-H","N1-L","N1-M","W2-H","W2-L","W2-M","W3-H","W3-L","W3-M","W4-H","W4-L","W5-H","W5-L"
"1810043H04Rik",2,1,1,0,0,0,0,0,0,3,1,3,3,0,0,1
"1810044D09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1810055G02Rik",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1810058I24Rik",68,61,162,26,25,13,27,28,33,13,280,264,106,60,1,47
"1810059H22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1810062G17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1810062O18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2010001A14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2010008C14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2010010A06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2010015M23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2010016I18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2010107E04Rik",29,6,8,10,13,4,12,3,6,103,62,58,58,10,2,111
"2010107G23Rik",0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0
"2010109I03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2010110K18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2010111I01Rik",15,25,98,8,2,10,19,4,21,367,9,56,55,18,0,5
"2010204K13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2010300C02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2010315B03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2010320M18Rik",0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
"2200002D01Rik",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2
"2210013O21Rik",1,1,2,0,0,0,0,0,0,1,1,1,2,1,0,0
"2210016F16Rik",1,1,1,0,0,0,1,1,0,3,4,2,39,0,0,0
"2210016L21Rik",1,1,1,0,0,0,0,0,0,2,2,3,2,0,0,0
"2210017I01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2210404O09Rik",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"2210408F21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2210408I21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2210418O10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2300005B03Rik",0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0
"2300009A05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2310001H17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2310002F09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2310007B03Rik",0,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0
"2310008N11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2310009A05Rik",0,0,1,1,0,0,0,0,0,1,0,2,3,0,0,0
"2310009B15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2310010J17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2310011J03Rik",1,1,1,0,0,0,1,1,1,4,3,16,14,2,0,1
"2310015A10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2310022A10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2310022B05Rik",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"2310030G06Rik",0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0
"2310033P09Rik",0,0,0,0,0,0,0,0,0,2,2,2,4,0,0,0
"2310034G01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2310035C23Rik",2,1,2,0,0,0,5,0,1,5,12,6,3,1,0,3
"2310036O22Rik",1,1,1,0,0,0,0,0,0,1,1,1,5,1,0,0
"2310039H08Rik",1,1,3,15,0,0,23,1,2,16,3,14,61,3,0,1
"2310040G24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2310046K23Rik",0,0,1,0,0,0,0,0,0,2,2,2,0,0,0,1
"2310050C09Rik",0,0,0,0,0,0,0,0,1,2,3,3,0,0,0,0
"2310057M21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2310061I04Rik",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
